Issue Date,Tender,Security Type,Discount Rate,Interest Rate
02 Nov 2020,1718,91 DAY BILL,13.5821,14.0595
02 Nov 2020,1718,182 DAY BILL,13.1688,14.0970
02 Nov 2020,1718,364 DAY BILL,14.5080,16.9700
26 Oct 2020,1717,91 DAY BILL,13.5781,14.0552
26 Oct 2020,1717,182 DAY BILL,13.1869,14.1177
19 Oct 2020,1716,5 YR FXR BOND,19.8500,19.8500
19 Oct 2020,1716,91 DAY BILL,13.5623,14.0383
19 Oct 2020,1716,182 DAY BILL,13.1584,14.0851
19 Oct 2020,1716,364 DAY BILL,14.5280,16.9974
12 Oct 2020,1715,91 DAY BILL,13.5766,14.0536
12 Oct 2020,1715,182 DAY BILL,13.1794,14.1092
05 Oct 2020,1714,2 YR FXR NOTE,18.5000,18.5000
05 Oct 2020,1714,91 DAY BILL,13.5696,14.0461
05 Oct 2020,1714,182 DAY BILL,13.2051,14.1386
05 Oct 2020,1714,364 DAY BILL,14.5156,16.9804
28 Sep 2020,1713,91 DAY BILL,13.5599,14.0357
28 Sep 2020,1713,182 DAY BILL,13.2131,14.1478
21 Sep 2020,1712,3 YR FXR BOND,19.0000,19.0000
21 Sep 2020,1712,91 DAY BILL,13.5322,14.0060
21 Sep 2020,1712,182 DAY BILL,13.1903,14.1216
21 Sep 2020,1712,364 DAY BILL,14.5201,16.9866
14 Sep 2020,1711,91 DAY BILL,13.5470,14.0219
14 Sep 2020,1711,182 DAY BILL,13.1608,14.0878
07 Sep 2020,1710,91 DAY BILL,13.5426,14.0172
07 Sep 2020,1710,182 DAY BILL,13.1765,14.1058
07 Sep 2020,1710,364 DAY BILL,14.4660,16.9126
31 Aug 2020,1709,91 DAY BILL,13.5825,14.0599
31 Aug 2020,1709,182 DAY BILL,13.1514,14.0771
31 Aug 2020,1709,2 YR FXR NOTE,18.2500,18.2500
24 Aug 2020,1708,91 DAY BILL,13.5608,14.0367
24 Aug 2020,1708,182 DAY BILL,13.1810,14.1110
17 Aug 2020,1707,7 YR FXR BOND,20.0000,20.0000
17 Aug 2020,1707,91 DAY BILL,13.5307,14.0044
17 Aug 2020,1707,182 DAY BILL,13.1816,14.1117
17 Aug 2020,1707,364 DAY BILL,14.4088,16.8344
10 Aug 2020,1706,182 DAY BILL,13.1522,14.0780
10 Aug 2020,1706,364 DAY BILL,14.4885,16.9433
10 Aug 2020,1706,91 DAY BILL,13.5141,13.9866
03 Aug 2020,1705,91 DAY BILL,13.5203,13.9933
03 Aug 2020,1705,182 DAY BILL,13.1295,14.0520
27 Jul 2020,1704,91 DAY BILL,13.4972,13.9685
